,negative,positive,neutral,total
destinationdragons,1.9017409062951174,4.350246710411598,10.749950493073886,17.001938109780603
hi,3.4378109121390543,1.6750200515686096,11.87170193832454,16.984532902032203
not even,16.484381159870026,0.0,0.47160556433053114,16.955986724200557
flight delayed,16.136137008333822,0.715630146096887,0.0,16.85176715443071
disappointed,16.28992978825796,0.0,0.5075967391644434,16.797526527422406
almost,14.957743646829869,0.8752651288017046,0.9198412928067867,16.75285006843836
available,11.301212689520328,0.6897517337451079,4.672829630045648,16.663794053311086
return,10.945834648182347,2.260962796774841,3.3916938361897397,16.598491281146927
full,13.637156021942403,0.8858739118428773,2.013188092634739,16.53621802642002
1st,9.528048834166055,2.420760320389076,4.548891598954497,16.49770075350963
bos,8.961332704753119,3.068265754947919,4.424049584214075,16.453648043915113
departure,12.16888631274155,0.6855947783671039,3.539456574006292,16.393937665114947
reason,12.26155230473222,2.162183467645155,1.9598252912379948,16.38356106361537
member,11.611207325911703,1.7540716350024432,2.9745570267633137,16.33983598767746
cool,7.078578919488282,7.73950978641339,1.505152417190049,16.323241123091723
ground,12.850862814637873,2.4311380026470832,1.0281107484244982,16.310111565709455
denver,8.685510759783284,3.8431381200625485,3.776867953555563,16.305516833401395
amaze,3.1277536159597874,12.276128861994204,0.8997634925849621,16.303645970538955
hold hour,15.996917582811042,0.0,0.20379193536619175,16.200709518177234
ca not get,14.276664150014545,0.8570090078549306,1.0518356941695655,16.185508852039042
still not,15.462073873897783,0.17144702839431644,0.5126172522775813,16.14613815456968
old,10.62531175779644,1.2730306292218023,4.246982559190118,16.145324946208362
twitter,8.166316355916324,4.546554686549643,3.4140275332626735,16.12689857572864
family,9.863649670371712,3.3112941776351343,2.9269026656829125,16.10184651368976
message,11.415869766222436,1.2285207908949025,3.455016038881966,16.099406595999305
hung,15.252913745891279,0.0,0.764314335080239,16.017228080971517
chance,6.167165240365735,1.1734065296138347,8.66762386516475,16.008195635144318
extra,13.661722709217088,1.039216723537842,1.2829459606526288,15.98388539340756
early,9.602095228699271,4.2619204412090665,2.066491216957492,15.930506886865828
snow,6.517417099669034,3.033633964987397,6.359503833692256,15.910554898348686
least,12.732391122204504,2.0316800223112828,1.1023009083055468,15.866372052821333
link,9.700051648500164,0.6224930488936803,5.455240796708898,15.777785494102742
unacceptable,15.75554934470701,0.0,0.0,15.75554934470701
horrible,14.533783280457927,0.8120573053832626,0.40531147959114544,15.751152065432334
far,10.770213601110894,3.513813035401287,1.4635819508140602,15.74760858732624
move,10.536944470246022,2.640818863505782,2.5507010807426513,15.728464414494455
company,12.641162832152771,2.1474156278155325,0.9350218789486511,15.723600338916954
seem,12.15234737717072,1.0105524304845475,2.5561073237352296,15.719007131390498
poor,14.907493423185828,0.19206625614922085,0.44877715845300625,15.548336837788057
take off,10.875784492818353,2.217113390996182,2.4462448558610266,15.539142739675562
please help,10.761823626306702,0.0,4.686805433087391,15.448629059394094
san,6.481785601208462,3.9563023501390475,5.000556754790572,15.438644706138081
card,8.45761172632926,1.0834467855701817,5.88737760613452,15.42843611803396
run,9.0666448369351,2.5783071922346283,3.645130698719025,15.290082727888752
big,8.618205136731907,5.906964619533953,0.7512732820123619,15.276443038278222
found,9.885709197500246,3.168598592525668,2.049493423053224,15.103801213079137
pas,6.829207374471266,2.1149263667699896,6.118013679866079,15.062147421107335
paid,14.378647357304683,0.0,0.6773004916531488,15.055947848957832
not work,13.977139609008868,0.22760883049675393,0.8324604954990131,15.037208935004635
rt fleet,3.724516515418382,0.7248411585664776,10.57860567594834,15.0279633499332
rt fleet flek,3.724516515418382,0.7248411585664776,10.57860567594834,15.0279633499332
request,8.36272115720529,0.8479213389853284,5.802347289818936,15.012989786009554
maybe,10.579921008850425,1.2513502182869078,3.1717294969328793,15.003000724070212
end,9.820687123315096,2.965765962337661,2.1977332486956973,14.984186334348454
actually,9.728324581245666,2.7880540752833247,2.454862481775727,14.971241138304718
hang,13.92241660410429,0.42637963451804783,0.5456028757508553,14.894399114373194
45,13.511769084988511,0.6324348097196852,0.6642391766488924,14.80844307135709
job,6.308615003740812,7.195364393881127,1.298021837764988,14.802001235386928
gt,9.36321913111902,1.7437852977239232,3.6853123856726056,14.792316814515548
hey,8.717884799884791,1.8980454363968544,4.157118235446409,14.773048471728053
little,9.094067967083799,3.4072848237371023,2.2266955012679044,14.728048292088806
confirmation,4.497391804413569,2.6421522756896945,7.486066587973384,14.625610668076646
vegas,4.555489344006016,3.220624994669378,6.842918402951269,14.619032741626663
soon,5.80276430075982,3.762815048027779,5.031408831815028,14.596988180602628
book flight,8.863043265145823,1.0069924192400626,4.7084524870590725,14.57848817144496
cost,10.354528484730931,0.38549958479933305,3.827251585489406,14.567279655019671
thought,8.50292966958636,1.4738244169457406,4.588594203342062,14.565348289874162
plan,10.699871245471773,0.8597621636151342,3.002763356514527,14.562396765601434
nyc,8.009388310626996,1.8687138603843114,4.674011266661974,14.552113437673281
miss connection,13.55166668913493,0.44114929435897404,0.5429188205088,14.535734804002704
wife,10.470249920829069,1.8488427443439095,2.193915471084903,14.51300813625788
month,8.888699713788839,2.3777251814385094,3.240202045385201,14.50662694061255
cause,11.55068677304519,0.2556722283464608,2.6900710587080057,14.496430060099655
allow,10.802168363137406,0.2329277734657841,3.4595395434549214,14.494635680058112
strand,12.89380281481316,0.24927162784744109,1.3248525801178284,14.46792702277843
different,11.049103617839934,0.6640888842689738,2.7523793678986967,14.465571870007604
guess,11.0453470433163,0.8150201115619413,2.595811900993663,14.456179055871903
past,11.35216204120292,0.7360048547447999,2.3655111996067153,14.453678095554436
dallas,7.515428921627841,1.9846936636586616,4.8276027829493495,14.327725368235853
lol,5.014454711101297,3.98074250721813,5.270522572647638,14.265719790967065
away,8.201099773685351,3.4524001139477503,2.605853555220487,14.259353442853588
once,9.885173357301683,1.9462344452329208,2.404828507915778,14.236236310450384
change flight,11.303478933715686,1.3612655349397973,1.528230471340442,14.192974939995924
ur,10.454035044161351,1.7021836816646112,2.0362139957531964,14.19243272157916
try get,11.212714674242397,0.47688489882375384,2.4868391946781494,14.1764387677443
american,8.128320424002595,2.482452111128129,3.56506390442421,14.175836439554935
food,11.238253050369543,1.1368320562033183,1.7342195625648964,14.109304669137757
40,12.970689382320067,0.6227291083167401,0.47425081379656503,14.067669304433373
provide,9.675999286243545,1.6445066424578292,2.681375213289745,14.00188114199112
lot,10.883642186947009,2.0265844300050477,1.0544797322417203,13.964706349193778
50,12.116952882961513,0.6373880059477142,1.2059331073959645,13.960273996305192
account,9.706144670468426,0.6772204825344605,3.5713168044279247,13.954681957430811
broken,12.9593037924867,0.3201030479378615,0.6456411800921625,13.925048020516725
tarmac,12.974216639830386,0.33327992089417263,0.595277459077699,13.902774019802258
bring,4.948455000082807,2.9727805049703004,5.926464276277573,13.84769978133068
complaint,12.397764280221311,0.8598618233394225,0.5825446288468713,13.840170732407605
might,9.247261551881726,1.974387077936704,2.6012551415826435,13.822903771401073
